Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3
3064.416;59.853;0;25161;601538;0;0
3065.071;55.678;0;25162;601536;0;0
3064.8;52.21;0;25163;601535;0;0
3065.829;48.669;0;25164;601534;0;0
3065.335;45.446;0;25165;601532;0;0
3066.954;42.93;0;25166;601531;0;0
3065.938;40.977;0;25167;601530;0;0
3066.238;38.681;0;25168;601528;0;0
3065.14;37.558;0;25169;601527;0;0
3065.444;36.508;0;25170;601526;0;0
3068.669;36.85;0;25171;601524;0;0
3067.765;37.289;0;25172;601523;0;0
3069.56;37.607;0;25173;601522;0;0
3070.5;38.632;0;25174;601520;0;0
3071.24;38.901;0;25175;601519;0;0
3071.854;38.877;0;25176;601518;0;0
3072.021;40.806;0;25177;601516;0;0
3072.637;40;0;25178;601515;0;0
3073.125;41.441;0;25179;601514;0;0
3073.759;40.83;0;25180;601513;0;0
3072.676;42.271;0;25181;601511;0;0
3072.915;41.343;0;25182;601510;0;0
3071.118;41.612;0;25183;601509;0;0
3071.666;42.393;0;25184;601508;0;0
3069.28;41.49;0;25185;601507;0;0
3070.029;41.832;0;25186;601506;0;0
3069.09;42.466;0;25187;601505;0;0
3068.448;41.929;0;25188;601504;0;0
3067.946;42.271;0;25189;601502;0;0
3066.392;42.125;0;25190;601501;0;0
3066.665;42.906;0;25191;601500;0;0
3064.982;41.636;0;25192;601499;0;0
3065.241;41.685;0;25193;601498;0;0
3065.098;41.758;0;25194;601498;0;0
3064.257;41.905;0;25195;601497;0;0
3064.842;41.026;0;25196;601496;0;0
3065.478;40.44;0;25197;601495;0;0
3064.973;39.951;0;25198;601494;0;0
3063.958;40;0;25199;601493;0;0
3064.175;39.121;0;25200;601493;0;0
3063.854;38.926;0;25201;601492;0;0
3062.269;37.851;0;25202;601491;0;0
3063.425;37.192;0;25203;601491;0;0
3062.917;37.509;0;25204;601490;0;0
3062.141;36.41;0;25205;601489;0;0
3063.597;35.946;0;25206;601489;0;0
3063.03;35.897;0;25207;601488;0;0
3062.896;35.8;0;25208;601488;0;0
3063.714;36.361;0;25209;601487;0;0
3062.107;35.849;0;25210;601487;0;0
3062.303;35.751;0;25211;601487;0;0
3061.781;36.19;0;25212;601486;0;0
3061.98;36.361;0;25213;601486;0;0
3061.006;36.41;0;25214;601486;0;0
3061.308;35.995;0;25215;601485;0;0
3061.077;36.313;0;25216;601485;0;0
3061.255;36.679;0;25217;601485;0;0
3060.389;36.581;0;25218;601485;0;0
3061.099;37.216;0;25219;601485;0;0
3061.055;37.265;0;25220;601485;0;0
3062.146;38.12;0;25221;601484;0;0
3062.512;38.144;0;25222;601484;0;0
3061.689;38.632;0;25223;601484;0;0
3061.393;38.901;0;25224;601484;0;0
3061.759;38.877;0;25225;601484;0;0
3062.021;39.463;0;25226;601485;0;0
3061.399;40.366;0;25227;601485;0;0
3061.555;40.391;0;25228;601485;0;0
3061.631;41.099;0;25229;601485;0;0
3061.929;41.709;0;25230;601485;0;0
3061.164;42.589;0;25231;601485;0;0
3061.048;42.613;0;25232;601486;0;0
3061.862;43.565;0;25233;601486;0;0
3062.325;44.2;0;25234;601486;0;0
